protGroups,mean,q
sp|Q9Y2V7|COG6_HUMAN,5.06133575346579,0.0137575521245779
sp|O14879|IFIT3_HUMAN,3.45725927733037,0.0227298157440524
sp|P09913|IFIT2_HUMAN,3.26768210711123,0.00143875347633647
sp|P0DPD6|ECE2_HUMAN,2.26857345106003,0.00143875347633647
sp|P09914|IFIT1_HUMAN;sp|Q5T764|IFT1B_HUMAN;sp|Q13325|IFIT5_HUMAN,2.01231319329621,0.0375672398553807
sp|P45880|VDAC2_HUMAN,1.90552202199763,0.0137575521245779
sp|P11166|GTR1_HUMAN,1.5687600338872,0.0227298157440524
sp|P21796|VDAC1_HUMAN,1.49891894271137,0.0375672398553807
sp|P05556|ITB1_HUMAN,1.29486659363618,0.0514935963864784
sp|P43490|NAMPT_HUMAN,1.16660807126452,0.0514935963864784
sp|P26447|S10A4_HUMAN,1.07334350397745,0.0137575521245779
sp|Q9UHQ4|BAP29_HUMAN,-1.05938707472463,0.163924494849002
sp|P51572|BAP31_HUMAN,-1.28950392414721,0.157355785976474
